,titel,categorie,link
48,Hydrografie (INSPIRE geharmoniseerd),Water en vaarwegen,https://www.pdok.nl/introductie/-/article/hydrografie-inspire-geharmoniseerd-
49,Richtlijn Overstromingsrisico EU2018,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/richtlijn-overstromingsrisico-eu2018
50,Natuurnetwerk Nederland (NNN),Gebieden,https://www.pdok.nl/introductie/-/article/natuurnetwerk-nederland-nnn-
51,Zeegebieden,Zee,https://www.pdok.nl/introductie/-/article/zeegebieden
52,Zwemwaterkwaliteit (provinciaal en Rijkswateren) uit Zwemwaterregister,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/zwemwaterkwaliteit-provinciaal-en-rijkswateren-uit-zwemwaterregister
53,Basisregistratie Topografie (BRT) TOPraster,Basisregistratie Topografie (BRT),https://www.pdok.nl/introductie/-/article/dataset-basisregistratie-topografie-brt-topraster
54,Basisregistratie Grootschalige Topografie (BGT),Topografie,https://www.pdok.nl/introductie/-/article/basisregistratie-grootschalige-topografie-bgt-
55,Nationaal Hydrologisch Instrumentarium (NHI),Water en vaarwegen,https://www.pdok.nl/introductie/-/article/nationaal-hydrologisch-instrumentarium-nhi-
56,Natura 2000,Natuur en milieu,https://www.pdok.nl/introductie/-/article/natura-2000
57,Schelpdierpercelen,Visserij,https://www.pdok.nl/introductie/-/article/schelpdierpercelen
58,Nationale EnergieAtlas informatielagen Kadaster,Energie,https://www.pdok.nl/introductie/-/article/nationale-energieatlas-informatielagen-kadaster
59,Terugmeldingen voor Bronhouders (Gesloten),Gebouwen (panden),https://www.pdok.nl/introductie/-/article/terugmeldingen-voor-bronhouders-gesloten-
60,CBS Bevolkingskernen,Bevolking,https://www.pdok.nl/introductie/-/article/cbs-bevolkingskernen
61,CBS Postcode4,Postcodes,https://www.pdok.nl/introductie/-/article/cbs-postcode4
62,Spoorwegen,Spoorwegen,https://www.pdok.nl/introductie/-/article/spoorwegen
63,Liander elektriciteitsnetten,Energie,https://www.pdok.nl/introductie/-/article/liander-elektriciteitsnetten-1
64,Natuurmeting Op Kaart (NOK),Natuur en milieu,https://www.pdok.nl/introductie/-/article/natuurmeting-op-kaart-nok-
65,Mosselzaad invanginstallaties,Visserij,https://www.pdok.nl/introductie/-/article/mosselzaad-invanginstallaties
66,Mossel- en oesterhabitats,Visserij,https://www.pdok.nl/introductie/-/article/mossel-en-oesterhabitats
67,Scheepvaart Verkeersscheidingsstelsel Noordzee,Zee,https://www.pdok.nl/introductie/-/article/verkeersscheidingsstelsel
68,Bodemgebruik (INSPIRE geharmoniseerd),Bodem,https://www.pdok.nl/introductie/-/article/bodemgebruik-inspire-geharmoniseerd-
69,CBS Existing Landuse (INSPIRE geharmoniseerd),Bodem,https://www.pdok.nl/introductie/-/article/cbs-existing-landuse-inspire-geharmoniseerd-
70,Stiltegebieden,Gebieden,https://www.pdok.nl/introductie/-/article/stiltegebieden
71,Invasieve Exoten,Natuur en milieu,https://www.pdok.nl/introductie/-/article/invasieve-exoten
72,Provinciaal landschapsbeleid,Gebieden,https://www.pdok.nl/introductie/-/article/provinciaal-landschapsbeleid
73,Wet Ammoniak en Veehouderij gebieden (WAV),Gebieden,https://www.pdok.nl/introductie/-/article/wet-ammoniak-en-veehouderij-gebieden-wav-
74,Geluidbelasting Rijkswegen (RWS),Wegen,https://www.pdok.nl/introductie/-/article/geluidskaarten-
75,NAP info,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/napinfo
76,Gesloten gebieden voor visserij,Visserij,https://www.pdok.nl/introductie/-/article/gesloten-gebieden-voor-visserij
77,NOVEX gebieden,Ruimte,https://www.pdok.nl/introductie/-/article/novex-gebieden
78,Basisregistratie Topografie Achtergrondkaarten (BRT-A),Topografie,https://www.pdok.nl/introductie/-/article/basisregistratie-topografie-achtergrondkaarten-brt-a-
79,Vaarweg Informatie Nederland (VIN),Water en vaarwegen,https://www.pdok.nl/introductie/-/article/vaarweg-informatie-nederland-vin-
80,Terugmeldingen,Gebouwen (panden),https://www.pdok.nl/introductie/-/article/terugmeldingen-1
81,Administratieve Eenheden (INSPIRE geharmoniseerd),Grenzen & percelen,https://www.pdok.nl/introductie/-/article/administratieve-eenheden-inspire-geharmoniseerd-
